CUSTOMER_ID;CREATION_DATE;REGIONAL_CODE;ORIGIN
AB00308476;07/05/2012;2;STORE
AB00338766;16/04/2010;36;WEB
AB00338968;01/04/2003;1;WEB
AB00352754;23/05/2005;3;STORE
AB00360704;09/11/2004;48;WEB
AB00360905;03/04/2002;48;WEB
AB00391195;17/09/2009;10;WEB
AB00405183;07/05/2003;23;WEB
AB00429636;19/02/2011;31;WEB
AB00429838;22/08/2008;31;WEB
AB00435473;25/01/2004;14;WEB
AB00757795;13/09/2011;21;WEB
AB00815658;27/02/2002;46;WEB
AB00917799;10/12/2008;78;STORE
AB00992367;22/02/2003;41;WEB
AB01019739;24/02/2003;15;WEB
AB01019940;06/12/2008;14;WEB
AB01050230;16/12/2003;9;WEB
AB01052947;09/02/2002;53;WEB
AB01053149;22/11/2010;66;PHONE
AB01077602;23/03/2008;7;WEB
AB01110810;25/03/2008;37;WEB
AB01185177;22/01/2011;23;STORE
AB01221102;26/01/2012;63;WEB
AB01397811;16/08/2003;24;WEB
AB01973926;03/10/2016;81;WEB
AB02464604;01/05/2016;20;STORE
AB02690622;25/09/2012;47;WEB
AB03633740;20/08/2017;46;WEB
AB03650243;04/09/2015;12;PHONE
AB04083260;14/01/2018;36;STORE
AB04185401;25/02/2015;27;WEB
AB04215691;13/02/2018;42;STORE
AB04229276;24/02/2017;3;PHONE
AB04753365;23/08/2017;61;PHONE
AC00312916;13/01/2005;11;WEB
AC00313117;12/10/2003;11;WEB
AC00324187;20/03/2003;36;WEB
AC00351558;31/10/2007;20;WEB
AC00351760;28/02/2004;3;STORE
AC00395635;29/08/2004;13;WEB
AC00395836;21/12/2009;13;WEB
AC00404189;05/01/2001;23;WEB
AC00406704;08/02/2004;42;WEB
AC00429045;29/10/2004;47;WEB
AC00748650;02/05/2011;6;WEB
AC00790009;13/05/2015;23;WEB
AC00795645;01/09/2010;37;WEB
AC00825733;02/02/2008;71;WEB
AC00969234;01/08/2010;32;WEB
AC00969435;17/05/2013;64;WEB
AC00994090;17/08/2005;41;WEB
AC01018946;02/02/2012;34;WEB
AC01049437;26/03/2002;7;WEB
AC01068456;30/01/2011;56;WEB
AC01209038;06/01/2015;33;WEB
AC01324966;05/02/2014;34;STORE
AC01347105;18/02/2013;10;STORE
AC01446126;06/03/2016;25;WEB
AC01523411;24/03/2016;4;PHONE
AC01898565;08/09/2015;66;WEB
AC02204383;11/01/2017;13;STORE
AC02615463;31/08/2013;14;STORE
AC02634885;05/09/2013;71;STORE
AC02692546;24/08/2017;47;STORE
AC02755843;18/09/2017;40;STORE
AC02849833;11/11/2016;12;WEB
AC03216433;27/02/2016;71;STORE
AC03768095;17/10/2013;9;PHONE
AC04181690;02/03/2014;30;PHONE
AC04247905;20/03/2014;42;PHONE
AC04308485;22/03/2016;12;WEB
AC04459935;09/05/2014;47;WEB
AC04683438;23/07/2019;4;STORE
AC04724596;04/09/2014;18;PHONE
AC04917607;06/10/2016;1;STORE
AC05028100;14/12/2014;48;PHONE
AD00312122;13/10/2005;11;STORE
AD00339494;23/05/2005;21;WEB
AD00353280;16/01/2003;3;WEB
AD00353482;31/01/2004;3;WEB
AD00361633;13/04/2004;48;WEB
AD00394841;27/08/2004;13;WEB
AD00402992;03/06/2001;30;WEB
AD00405911;07/01/2005;23;WEB
AD00414263;22/02/2002;57;WEB
AD00422414;01/02/2005;36;WEB
AD00425131;31/03/2003;47;STORE
AD00670571;20/02/2010;14;WEB
AD00959886;30/08/2014;36;WEB
AD00993095;24/07/2005;41;WEB
AD01018152;17/10/2007;34;WEB
AD01056593;19/01/2003;43;WEB
AD01062027;22/04/2004;33;WEB
AD01067663;23/01/2001;58;WEB
AD01078732;25/04/2012;49;WEB
AD01100670;01/02/2006;35;WEB
AD01108821;03/10/2005;28;WEB
AD01109022;26/05/2003;28;WEB
AD01310386;06/12/2015;53;WEB
AD01398337;04/03/2005;64;WEB
AD01398539;08/01/2003;64;WEB
AD01883582;07/09/2014;23;STORE
AD02303014;16/02/2017;49;WEB
AD02564957;23/07/2017;27;WEB
AD02834850;05/11/2014;26;WEB
AD02939708;30/12/2012;24;STORE
AD02948262;10/12/2016;51;STORE
AD02978552;31/12/2014;37;WEB
AD03052717;29/01/2013;13;WEB
AD03193501;04/03/2014;41;STORE
AD03334284;02/04/2017;47;STORE
AD03477583;26/07/2014;69;STORE
AD03480300;02/08/2013;17;STORE
AD04266131;20/02/2019;49;PHONE
AD04268646;26/02/2018;34;STORE
AD04483796;15/05/2014;71;STORE
AD04624580;22/07/2016;74;STORE
AD04668656;30/07/2017;11;WEB
AD05010400;20/11/2017;41;PHONE
AE00324914;27/04/2002;1;WEB
AE00325116;05/01/2005;1;WEB
AE00344135;27/09/2005;21;WEB
AE00435206;16/02/2004;50;WEB
AE00780070;05/04/2006;7;WEB
AE00983949;12/01/2004;22;WEB
AE00992302;04/11/2005;41;WEB
AE01028026;23/02/2003;4;WEB
AE01077738;01/03/2012;55;WEB
AE01110745;29/04/2006;37;WEB
AE01110946;22/02/2011;28;WEB
AE01121613;27/02/2001;18;WEB
AE01221238;30/01/2012;49;WEB
AE01254245;11/01/2016;11;STORE
AE01325895;05/02/2014;17;STORE
AE01356185;27/02/2012;6;STORE
AE01397343;23/11/2004;24;WEB
AE01400463;12/03/2012;36;STORE
AE01461043;22/03/2014;13;WEB
AE02130946;28/12/2014;7;STORE
AE02197161;09/01/2017;39;WEB
AE02274446;03/03/2013;19;STORE
AE02406676;28/03/2017;10;WEB
AE02528037;05/08/2012;50;STORE
AE02533673;23/07/2015;10;WEB
AE02944349;03/12/2017;35;STORE
AE03540087;22/07/2018;15;PHONE
AE03653096;31/08/2016;34;STORE
AE04055420;07/01/2018;42;WEB
AE04447279;22/04/2016;37;WEB
AE04623585;10/07/2018;60;PHONE
AE05061835;03/12/2018;43;PHONE
AE05062036;28/11/2019;29;WEB
AF00313051;26/01/2003;11;WEB
AF00332272;01/02/2007;1;STORE
AF00351492;09/05/2007;20;WEB
AF00367996;17/06/2008;25;WEB
AF00403921;31/12/2004;30;WEB
AF00404123;19/11/2002;36;WEB
AF00406638;27/02/2006;42;WEB
AF00406840;03/09/2006;42;WEB
AF00417909;29/01/2007;54;STORE
AF00425859;09/05/2005;17;WEB
AF00428777;17/12/2001;47;WEB
AF00434211;21/10/2008;57;WEB
AF00795579;10/04/2012;37;PHONE
AF00825869;27/01/2014;71;STORE
AF00831504;26/07/2009;49;WEB
AF00969369;10/12/2014;32;WEB
AF01013244;21/05/2003;7;WEB
AF01027031;23/09/2014;60;STORE
AF01048968;21/03/2005;22;WEB
AF01049170;08/09/2013;7;WEB
AF01062755;13/01/2004;45;WEB
AF01062956;25/01/2009;33;WEB
AF01068592;22/08/2009;59;WEB
AF01109750;19/05/2003;13;WEB
AF01393631;04/10/2005;38;STORE
AF01396751;27/02/2014;62;STORE
AF01476350;14/03/2016;1;STORE
AF01509760;30/03/2015;69;WEB
AF01688984;25/07/2011;25;WEB
AF01829365;15/08/2015;17;STORE
AF02050150;03/12/2014;3;STORE
AF02165876;28/12/2016;25;WEB
AF02295389;10/03/2013;19;PHONE
AF02312094;20/02/2017;40;STORE
AF02499671;06/06/2015;31;STORE
AF02709185;29/09/2012;23;STORE
AF02940637;13/12/2015;8;WEB
AF03301803;24/03/2017;50;STORE
AF03549960;24/07/2018;20;PHONE
AF03781614;08/10/2015;65;STORE
AF03878321;13/12/2014;30;WEB
AF03941618;15/12/2016;40;PHONE
AF03947253;10/12/2017;41;STORE
AF04357728;01/04/2016;4;PHONE
AF04589583;21/06/2015;16;PHONE
AF04592300;09/06/2018;35;STORE
AF04840256;29/09/2014;64;STORE
AF04865112;17/09/2017;41;STORE
AF04914824;19/10/2014;23;PHONE
AG00339428;26/07/2006;36;WEB
AG00339630;24/04/2003;21;WEB
AG00355932;20/04/2008;3;STORE
AG00361567;12/02/2003;48;PHONE
AG00361769;08/02/2002;8;WEB
AG00369718;27/02/2010;48;STORE
AG00386625;07/02/2004;16;WEB
AG00392059;10/09/2008;10;WEB
AG00403128;19/11/2004;30;WEB
AG00414198;07/03/2005;8;WEB
AG00422147;07/06/2005;36;WEB
AG00422349;24/02/2001;36;WEB
AG00755740;11/05/2009;17;PHONE
AG00786433;04/10/2009;30;STORE
AG00830510;02/05/2013;55;STORE
AG00993029;24/02/2001;41;WEB
AG01009734;18/10/2011;54;WEB
AG01040024;08/12/2005;46;WEB
AG01050892;19/04/2004;26;STORE
AG01062163;27/06/2007;33;WEB
AG01067396;25/01/2005;59;WEB
AG01108755;12/09/2003;28;WEB
AG01108957;07/02/2001;28;WEB
AG02242167;05/02/2015;39;STORE
AG02291879;12/02/2017;22;STORE
AG02379830;04/04/2014;42;PHONE
AG02710908;22/09/2014;70;STORE
AG03717121;28/09/2014;60;PHONE
AG03775185;19/10/2013;36;WEB
AG04274418;13/03/2016;52;STORE
AG04563733;30/05/2016;6;STORE
AG04980045;13/11/2014;33;STORE
AG04994033;04/11/2018;21;WEB
AH00297074;01/02/2003;6;WEB
AH00344270;14/06/2003;21;WEB
AH00352220;19/09/2009;3;WEB
AH00352421;22/03/2010;3;WEB
AH00357855;06/02/2012;3;WEB
AH00360774;23/05/2003;48;WEB
AH00421152;06/06/2001;36;WEB
AH00429505;04/05/2003;27;WEB
AH00429706;12/01/2003;31;WEB
AH00435140;24/01/2001;50;WEB
AH00881742;02/05/2004;4;WEB
AH00983883;30/07/2008;62;WEB
AH01019607;28/09/2010;15;WEB
AH01039029;27/11/2010;36;WEB
AH01049897;12/04/2001;9;WEB
AH01050099;20/01/2015;9;STORE
AH01077672;27/05/2008;55;WEB
AH01121547;09/10/2005;18;STORE
AH01242908;29/02/2008;75;WEB
AH01405831;17/02/2016;52;STORE
AH01482914;28/03/2014;25;STORE
AH01507569;16/04/2012;10;STORE
AH01626213;08/05/2014;32;STORE
AH01764078;16/08/2013;54;STORE
AH02299236;06/03/2014;4;STORE
AH02406610;09/04/2015;14;STORE
AH02478461;15/05/2015;18;STORE
AH02492046;14/05/2017;49;WEB
AH02508549;15/07/2014;13;STORE
AH02577482;07/08/2015;56;STORE
AH02582916;02/08/2016;36;WEB
AH03288744;02/04/2015;35;STORE
AH03578261;31/07/2018;35;PHONE
AH04011278;08/01/2016;30;WEB
AH04143507;04/02/2017;36;PHONE
AH04207207;08/03/2014;36;PHONE
AH04231862;12/02/2019;1;PHONE
AH04631872;01/08/2015;46;PHONE
AH04819247;25/09/2014;49;WEB
AH04882544;16/09/2018;71;PHONE
AI00312986;17/04/2007;11;WEB
AI00321137;19/09/2005;11;WEB
AI00367930;23/02/2005;25;WEB
AI00370849;16/02/2011;61;WEB
AI00387352;16/08/2009;20;STORE
AI00395503;25/03/2003;13;WEB
AI00406774;22/03/2005;23;WEB
AI00425995;30/05/2005;17;WEB
AI00434347;04/04/2004;57;WEB
AI00751235;22/09/2010;36;WEB
AI00770657;11/05/2013;47;WEB
AI00839388;18/08/2007;58;WEB
AI00985606;02/08/2007;69;WEB
AI01013380;10/04/2010;7;WEB
AI01018814;24/02/2004;34;WEB
AI01026965;11/01/2002;60;WEB
AI01068325;15/10/2005;56;STORE
AI01101533;15/06/2005;63;STORE
AI01365992;16/02/2014;62;STORE
AI02430270;22/04/2015;48;STORE
AI03475528;10/07/2016;6;STORE
AI03489315;05/08/2013;20;STORE
AI03508737;05/08/2014;9;WEB
AI03514171;03/08/2015;60;PHONE
AI03585820;12/08/2016;33;STORE
AI03593971;17/08/2016;50;PHONE
AI04059995;08/01/2018;18;WEB
AI04266994;23/03/2014;50;PHONE
AI04300001;27/03/2015;11;PHONE
AI04495729;15/04/2019;47;STORE
AI04550875;06/05/2019;5;PHONE
AI04608738;22/07/2015;31;PHONE
AI04691457;12/08/2016;23;WEB
AI04697093;28/08/2014;60;PHONE
AI04936696;24/09/2019;7;STORE
AJ00311789;09/12/2002;14;WEB
AJ00311991;22/03/2003;30;WEB
AJ00336645;05/06/2009;11;WEB
AJ00336847;11/04/2010;11;STORE
AJ00339362;05/01/2001;36;WEB
AJ00339564;09/01/2002;21;WEB
AJ00344998;09/03/2007;21;WEB
AJ00353149;17/07/2007;3;STORE
AJ00367137;16/08/2013;25;WEB
AJ00394508;03/08/2003;13;WEB
AJ00394710;30/12/2001;13;WEB
AJ00403062;25/03/2007;30;WEB
AJ00405578;02/12/2012;23;WEB
AJ00413930;06/04/2009;8;PHONE
AJ00422081;26/02/2005;36;WEB
AJ00435868;01/09/2006;15;WEB
AJ00772178;18/02/2015;36;WEB
AJ00783449;24/09/2013;13;WEB
AJ00971026;09/09/2014;47;WEB
AJ00992963;15/03/2003;41;WEB
AJ01053543;17/05/2001;71;WEB
AJ01053745;28/07/2006;71;PHONE
AJ01061694;09/10/2003;4;WEB
AJ01067531;15/05/2003;59;WEB
AJ01078399;15/03/2010;49;WEB
AJ01108689;02/12/2015;63;WEB
AJ01175106;21/12/2015;17;STORE
AJ01398206;12/12/2003;75;WEB
AJ01398407;27/02/2003;64;WEB
AJ01936081;15/10/2011;61;STORE
AJ01993944;19/11/2011;36;STORE
AJ02131809;22/12/2015;48;STORE
AJ02139960;07/01/2014;26;STORE
AJ02208892;12/01/2017;5;WEB
AJ02308115;04/03/2015;46;WEB
AJ02316467;05/03/2015;45;STORE
AJ02346757;20/03/2015;50;STORE
AJ02691621;12/09/2014;41;STORE
AJ02696854;21/09/2013;53;STORE
AJ03198803;02/03/2015;11;PHONE
AJ03220741;28/02/2016;13;STORE
AJ03295309;14/03/2018;1;STORE
AJ03427538;07/06/2013;77;PHONE
AJ03625983;21/08/2016;1;STORE
AJ04036861;08/01/2017;13;WEB
AJ04229872;24/02/2017;42;PHONE
AJ04254930;24/02/2018;3;PHONE
AJ04332013;10/03/2019;47;WEB
AJ04486382;20/04/2018;51;PHONE
AJ04566585;07/06/2015;17;STORE
AJ04571818;15/06/2014;50;STORE
AJ04607743;15/07/2016;52;PHONE
AJ04668525;24/07/2018;10;STORE
AJ04930267;18/10/2015;40;STORE
AK00344205;09/08/2011;21;WEB
AK00352154;17/09/2002;3;WEB
AK00352356;18/01/2005;3;WEB
AK00396231;20/03/2010;13;WEB
AK00401866;25/04/2003;30;WEB
AK00402068;23/01/2005;30;WEB
AK00404785;15/12/2005;23;WEB
AK00429641;27/08/2011;31;WEB
AK00435075;25/08/2002;50;PHONE
AK00716440;14/12/2012;64;WEB
AK00983818;14/05/2007;65;WEB
AK00992170;27/07/2002;4;WEB
AK01019542;12/12/2006;15;WEB
AK01038762;27/10/2013;19;PHONE
AK01069052;28/11/2013;64;WEB
AK01110412;31/03/2005;37;WEB
AK01110613;02/01/2004;37;WEB
AK01171193;15/01/2012;37;STORE
AK01234490;07/02/2011;28;STORE
AK01397211;12/06/2004;24;WEB
AK02009453;02/12/2012;3;STORE
AK02392758;22/04/2012;11;STORE
AK02414897;12/04/2015;20;STORE
AK02819938;23/10/2015;47;WEB
AK03098586;29/01/2015;42;STORE
AK03393537;04/05/2016;12;WEB
AK03639178;15/09/2013;62;STORE
AK04077226;13/01/2018;20;STORE
AK04124221;11/02/2015;26;PHONE
AK04184801;12/02/2017;22;STORE
AK04256652;08/03/2016;4;STORE
AK04295295;24/03/2015;44;WEB
AK04309081;29/03/2015;60;PHONE
AK04587327;17/06/2015;62;STORE
AK04587528;29/05/2018;44;PHONE
AK04606749;14/07/2016;8;STORE
AK04645593;23/07/2017;30;WEB
AK04932191;29/09/2018;1;WEB
AK05009476;08/12/2014;53;PHONE
AK05047917;21/11/2019;52;PHONE
AL00312718;01/02/2002;11;WEB
AL00312920;31/03/2006;11;WEB
AL00395437;18/02/2002;13;WEB
AL00406507;20/02/2011;23;WEB
AL00409425;11/10/2007;23;WEB
AL00414658;17/04/2005;57;WEB
AL00423212;30/12/2008;30;WEB
AL00425929;11/02/2003;17;WEB
AL00434080;07/01/2003;50;WEB
AL00450583;15/09/2004;68;PHONE
AL00696023;19/09/2012;12;WEB
AL00924960;29/08/2011;48;WEB
AL00968835;18/09/2009;5;WEB
AL00985338;25/09/2013;70;WEB
AL00993691;18/03/2005;41;WEB
AL00993892;24/05/2002;41;WEB
AL01018547;05/08/2007;22;WEB
AL01026899;12/01/2016;44;STORE
AL01054271;24/09/2004;53;WEB
AL01062825;16/10/2009;33;WEB
AL01068259;07/11/2005;56;WEB
AL01101266;26/12/2003;63;WEB
AL01109417;28/01/2006;13;WEB
AL01393499;03/03/2006;38;STORE
AL01393701;05/12/2003;38;STORE
AL01520295;21/04/2012;42;STORE
AL01550585;30/04/2012;11;STORE
AL02755847;24/09/2016;42;WEB
AL02901863;03/12/2015;65;STORE
AL03136032;11/02/2015;31;WEB
AL03163807;06/02/2017;3;WEB
AL03213317;27/02/2016;60;STORE
AL03216236;18/03/2013;17;WEB
AL03285168;25/03/2016;24;STORE
AL03287684;13/04/2013;49;STORE
AL03353899;11/04/2017;17;STORE
AL03610409;02/09/2014;59;WEB
AL03720701;04/09/2018;41;STORE
AL03993714;05/01/2016;41;STORE
AL04010217;26/12/2017;54;STORE
AL04231003;10/03/2015;4;PHONE
AL04316237;23/03/2016;30;STORE
AL04341093;29/03/2016;19;PHONE
AL04503814;30/04/2017;24;WEB
AL04509248;27/04/2018;58;STORE
AL04561879;27/05/2016;44;STORE
AL04644598;04/08/2015;51;STORE
AL04713329;18/08/2016;5;STORE
AL04735468;31/08/2015;30;WEB
AL04862263;11/09/2018;30;WEB
AL04966920;18/10/2017;29;STORE
AL05022267;07/12/2015;16;PHONE
AM00311925;28/09/2004;14;WEB
AM00339297;10/10/2003;36;WEB
AM00339498;20/05/2001;21;WEB
AM00361234;30/12/2006;48;WEB
AM00369587;10/07/2011;48;STORE
AM00391726;03/10/2005;10;WEB
AM00394443;25/02/2011;13;WEB
AM00402795;14/04/2014;30;WEB
AM00405512;12/08/2005;23;WEB
AM00419299;05/11/2011;54;WEB
AM00422217;17/07/2004;36;WEB
AM00455023;14/12/2004;68;WEB
AM00455224;12/01/2009;68;WEB
AM00763961;29/10/2014;19;STORE
AM00838529;31/07/2005;59;PHONE
AM00984545;16/03/2003;70;WEB
AM00992898;08/01/2006;41;WEB
AM01050559;12/12/2004;9;WEB
AM01050761;13/05/2001;26;STORE
AM01067466;12/04/2011;59;WEB
AM01241055;15/05/2008;24;STORE
AM01398140;24/04/2010;75;STORE
AM01615806;04/05/2014;60;STORE
AM01753671;18/08/2012;30;PHONE
AM01957751;11/10/2013;4;STORE
AM02324553;08/03/2015;13;PHONE
AM02338339;30/03/2013;15;PHONE
AM02625340;09/09/2012;12;WEB
AM03005727;18/12/2017;36;PHONE
AM03190385;10/03/2013;60;PHONE
AM03408252;08/05/2016;27;STORE
AM03471751;15/07/2015;28;STORE
AM03524180;05/08/2015;3;WEB
AM03584760;12/08/2016;6;PHONE
AM03711555;02/09/2018;34;PHONE
AM03821847;20/10/2015;59;PHONE
AM03876993;22/11/2017;20;STORE
AM04133503;21/02/2014;47;WEB
AM04524757;19/05/2015;30;WEB
AM04541462;30/04/2019;1;PHONE
AM04720687;01/08/2019;50;STORE
AM04864187;29/09/2015;48;STORE
AN00297144;22/07/2005;6;STORE
AN00310930;13/12/2007;2;WEB
AN00338302;04/04/2004;36;WEB
AN00338503;05/05/2005;36;WEB
AN00352088;28/08/2004;3;WEB
AN00390932;04/08/2011;19;PHONE
AN00407234;15/01/2009;23;WEB
AN00410153;17/09/2011;23;WEB
AN00435009;15/04/2001;50;WEB
AN00751897;12/04/2015;31;WEB
AN00768400;03/08/2014;5;PHONE
AN00784904;10/05/2013;1;WEB
AN00785105;24/11/2014;11;WEB
AN00983752;27/08/2002;65;WEB
AN01008406;12/03/2005;52;WEB
AN01019476;19/11/2004;34;WEB
AN01049967;28/02/2012;9;STORE
AN01101993;14/09/2010;78;STORE
AN01137919;27/12/2011;2;STORE
AN01557149;06/04/2016;40;STORE
AN01968027;16/10/2013;28;PHONE
AN02455989;09/05/2014;23;STORE
AN02461423;12/05/2014;44;WEB
AN02651717;09/09/2013;50;STORE
AN03247455;17/03/2015;40;STORE
AN03724347;06/10/2013;11;STORE
AN03768423;17/10/2013;51;PHONE
AN04212308;09/03/2014;64;STORE
AN04339305;05/04/2015;38;WEB
AN04377746;06/04/2016;20;WEB
AN04443962;15/04/2017;52;STORE
AN04656395;15/07/2019;13;PHONE
AN04821631;19/09/2015;13;WEB
AN04965333;29/10/2015;8;STORE
AO00312653;22/10/2003;11;WEB
AO00318288;08/06/2004;11;WEB
AO00329358;12/10/2007;1;WEB
AO00387019;21/09/2007;16;STORE
AO00395170;29/03/2004;13;WEB
AO00403523;13/06/2010;30;WEB
AO00414592;10/04/2012;57;WEB
AO00414794;13/08/2010;57;WEB
AO00422743;06/03/2004;11;WEB
AO00425662;27/11/2004;17;WEB
AO00751104;09/02/2015;36;STORE
AO00759255;15/03/2015;23;WEB
AO00792463;07/10/2004;28;WEB
AO00891686;21/08/2011;68;WEB
AO00966052;27/09/2011;3;WEB
AO00968971;14/05/2003;32;WEB
AO00985273;25/02/2002;70;WEB
AO00985474;03/03/2004;62;WEB
AO00993827;10/03/2004;41;WEB
AO01026632;26/12/2013;4;PHONE
AO01040419;01/11/2010;46;WEB
AO01040620;10/06/2006;46;WEB
AO01054205;26/07/2003;53;WEB
AO01067992;10/01/2004;56;WEB
AO01101200;14/01/2004;63;STORE
AO01393434;06/02/2003;38;WEB
AO01451498;01/04/2012;13;STORE
AO01718876;11/08/2011;50;STORE
AO01881597;12/09/2013;47;STORE
AO02002757;10/11/2015;3;STORE
AO02033248;09/12/2012;30;WEB
AO02204120;23/01/2015;36;STORE
AO02353055;27/03/2014;71;STORE
AO02366640;20/03/2016;3;STORE
AO02565286;02/08/2015;20;STORE
AO02989951;19/12/2016;56;STORE
AO03053248;13/01/2016;10;WEB
AO03078305;20/01/2016;68;PHONE
AO03097324;23/01/2016;64;STORE
AO03483346;02/07/2018;39;WEB
AO03676559;16/09/2014;48;STORE
AO03795002;23/09/2018;30;WEB
AO04357733;20/03/2018;37;WEB
AO04597537;14/07/2015;30;STORE
AO04696558;22/08/2015;70;STORE
AO04958502;07/10/2018;48;STORE
AP00344665;04/03/2005;2;WEB
AP00394578;28/08/2003;13;WEB
AP00402528;18/03/2006;30;WEB
AP00402729;06/09/2005;30;WEB
AP00405446;24/12/2002;42;PHONE
AP00435736;26/03/2008;44;WEB
AP00435938;13/01/2003;15;WEB
AP00441170;27/11/2013;47;WEB
AP00877106;14/04/2014;33;PHONE
AP00885257;03/01/2001;49;STORE
AP01067198;13/04/2004;59;WEB
AP01078066;30/01/2002;49;WEB
AP01078268;04/10/2002;49;WEB
AP01100205;24/01/2010;35;WEB
AP01397873;09/04/2002;24;WEB
AP01398074;20/07/2003;24;WEB
AP01472441;26/03/2014;1;STORE
AP01723516;24/07/2014;19;STORE
AP01830890;09/08/2016;19;STORE
AP01982541;24/10/2014;43;STORE
AP02012831;27/11/2013;3;STORE
AP02073411;30/12/2011;47;WEB
AP02415558;15/04/2015;1;WEB
AP02462553;06/05/2015;47;STORE
AP02886815;15/12/2012;20;STORE
AP03350323;05/05/2013;11;PHONE
AP03397117;05/05/2016;2;STORE
AP03623135;12/09/2013;47;WEB
AP03783139;18/10/2013;30;STORE
AP03987219;08/01/2015;1;WEB
AP04359455;26/03/2017;3;STORE
AP04574403;16/05/2019;37;WEB
AP04814409;16/09/2015;30;PHONE
AP04944123;27/10/2014;36;WEB
AQ00324651;09/05/2001;1;STORE
AQ00343670;19/04/2003;21;WEB
AQ00352023;22/06/2003;3;WEB
AQ00352224;17/09/2006;3;WEB
AQ00360375;07/10/2004;8;WEB
AQ00404653;04/03/2003;23;WEB
AQ00407169;13/12/2003;23;WEB
AQ00415320;10/11/2006;64;STORE
AQ00421157;29/10/2001;30;WEB
AQ00429106;28/04/2012;31;STORE
AQ00429308;12/04/2012;27;WEB
AQ00434742;09/08/2004;50;WEB
AQ00434943;08/12/2003;50;WEB
AQ00440176;23/12/2002;47;PHONE
AQ00487372;28/09/2011;14;WEB
AQ00784838;31/03/2014;1;WEB
AQ00818047;06/01/2007;7;WEB
AQ00853972;13/07/2013;4;PHONE
AQ01008139;20/01/2009;52;PHONE
AQ01008341;24/05/2008;52;WEB
AQ01019410;02/02/2004;34;WEB
AQ01022127;30/10/2010;22;WEB
AQ01027763;21/04/2001;4;WEB
AQ01049499;03/05/2003;7;WEB
AQ01049700;24/12/2013;9;WEB
AQ01110280;30/03/2007;37;PHONE
AQ01121551;12/08/2004;18;WEB
AQ01391444;07/03/2012;35;STORE
AQ01399998;06/03/2013;10;PHONE
AQ01854751;10/09/2012;3;STORE
AQ01954175;16/10/2012;42;STORE
AQ02425432;24/04/2014;2;WEB
AQ02621160;14/08/2016;62;WEB
AQ02957873;25/12/2014;30;PHONE
AQ03062529;01/01/2018;15;STORE
AQ03079234;07/02/2013;7;STORE
AQ03230684;17/03/2014;41;WEB
AQ03286032;12/03/2018;15;STORE
AQ03340976;29/04/2013;71;STORE
AQ03528553;18/08/2013;45;STORE
AQ03566994;23/08/2014;11;STORE
AQ03743502;17/09/2017;64;WEB
AQ03765439;13/10/2013;57;STORE
AQ04000011;06/01/2016;52;STORE
AQ04049522;31/01/2014;17;WEB
AQ04082730;07/01/2019;1;STORE
AQ04366813;08/04/2015;36;PHONE
AQ04394184;08/04/2016;8;STORE
AQ04493407;11/05/2015;79;STORE
AQ04554390;25/05/2016;35;STORE
AQ04793993;25/08/2018;64;WEB
AQ05067207;01/12/2019;43;PHONE
AR00339958;13/06/2001;21;WEB
AR00386953;22/12/2008;16;WEB
AR00403457;27/08/2003;11;WEB
AR00406375;01/01/2005;23;WEB
AR00414526;13/08/2003;8;WEB
AR00414728;29/07/2005;57;WEB
